KEY,ENTITY,D0,D1,D2,D3,D4,D5,D6,D7,REFERENCES
1,CARTESIAN_POINT,'NONE',26.50000000000000400,-27.75000000000000400,55.00000000000000000,,,,,[]
2,PRODUCT,'mac-003-006_Halter','mac-003-006_Halter','',1148,,,,,['1148']
3,PERSON,'UNSPECIFIED','UNSPECIFIED','UNSPECIFIED','UNSPECIFIED','UNSPECIFIED','UNSPECIFIED',,,[]
4,CIRCLE,'NONE',1399,17.50000000000000400,,,,,,['1399']
5,EDGE_LOOP,'NONE',1820,1815,,,,,,"['1820', '1815']"
6,LINE,'NONE',1235,259,,,,,,"['1235', '259']"
7,CIRCLE,'NONE',1403,2.749999999999992000,,,,,,['1403']
8,LINE,'NONE',1221,10,,,,,,"['1221', '10']"
9,LINE,'NONE',349,13,,,,,,"['349', '13']"
10,VECTOR,'NONE',1227,1000.000000000000000,,,,,,['1227']
11,VECTOR,'NONE',801,1000.000000000000000,,,,,,['801']
12,VECTOR,'NONE',350,999.9999999999998900,,,,,,['350']
13,VECTOR,'NONE',352,1000.000000000000000,,,,,,['352']
14,LINE,'NONE',268,78,,,,,,"['268', '78']"
15,LINE,'NONE',798,16,,,,,,"['798', '16']"
16,VECTOR,'NONE',799,1000.000000000000000,,,,,,['799']
17,LINE,'NONE',1234,253,,,,,,"['1234', '253']"
18,CONICAL_SURFACE,'NONE',1558,2.099999999999997900,1.029744258676654100,,,,,['1558']
19,EDGE_LOOP,'NONE',1915,1883,1913,2009,,,,"['1915', '1883', '1913', '2009']"
20,CIRCLE,'NONE',1408,2.099999999999997900,,,,,,['1408']
21,EDGE_LOOP,'NONE',1790,1793,1788,1791,,,,"['1790', '1793', '1788', '1791']"
22,VECTOR,'NONE',1206,1000.000000000000000,,,,,,['1206']
23,CYLINDRICAL_SURFACE,'NONE',1420,3.299999999999997200,,,,,,['1420']
24,FACE_OUTER_BOUND,'NONE',21,0001,,,,,,['21']
25,FACE_OUTER_BOUND,'NONE',194,0001,,,,,,['194']
26,FACE_OUTER_BOUND,'NONE',210,0001,,,,,,['210']
27,LINE,'NONE',1224,73,,,,,,"['1224', '73']"
28,CIRCLE,'NONE',1427,2.749999999999992000,,,,,,['1427']
29,FACE_BOUND,'NONE',254,0001,,,,,,['254']
30,FACE_OUTER_BOUND,'NONE',118,0001,,,,,,['118']
31,FACE_OUTER_BOUND,'NONE',262,0001,,,,,,['262']
32,FACE_OUTER_BOUND,'NONE',1771,0001,,,,,,['1771']
33,CYLINDRICAL_SURFACE,'NONE',1437,2.749999999999995600,,,,,,['1437']
34,CYLINDRICAL_SURFACE,'NONE',1537,2.499999999999995100,,,,,,['1537']
35,CYLINDRICAL_SURFACE,'NONE',1430,2.099999999999997900,,,,,,['1430']
36,FACE_OUTER_BOUND,'NONE',1767,0001,,,,,,['1767']
37,FACE_OUTER_BOUND,'NONE',227,0001,,,,,,['227']
38,FACE_BOUND,'NONE',238,0001,,,,,,['238']
39,FACE_OUTER_BOUND,'NONE',217,0001,,,,,,['217']
40,FACE_OUTER_BOUND,'NONE',1842,0001,,,,,,['1842']
41,EDGE_LOOP,'NONE',1963,1889,1961,1757,,,,"['1963', '1889', '1961', '1757']"
42,CYLINDRICAL_SURFACE,'NONE',1587,2.499999999999998700,,,,,,['1587']
43,FACE_BOUND,'NONE',179,0001,,,,,,['179']
44,FACE_OUTER_BOUND,'NONE',187,0001,,,,,,['187']
45,FACE_BOUND,'NONE',191,0001,,,,,,['191']
46,CONICAL_SURFACE,'NONE',1429,2.099999999999997900,1.029744258676654100,,,,,['1429']
47,FACE_BOUND,'NONE',79,0001,,,,,,['79']
48,FACE_OUTER_BOUND,'NONE',19,0001,,,,,,['19']
49,FACE_OUTER_BOUND,'NONE',196,0001,,,,,,['196']
50,FACE_OUTER_BOUND,'NONE',171,0001,,,,,,['171']
51,CYLINDRICAL_SURFACE,'NONE',1439,2.749999999999992000,,,,,,['1439']
52,FACE_OUTER_BOUND,'NONE',1769,0001,,,,,,['1769']
53,FACE_BOUND,'NONE',197,0001,,,,,,['197']
54,FACE_OUTER_BOUND,'NONE',244,0001,,,,,,['244']
55,CONICAL_SURFACE,'NONE',1443,18.49999999999998900,0.7853981633974466100,,,,,['1443']
56,EDGE_LOOP,'NONE',1862,1699,1743,1735,1686,1956,,"['1862', '1699', '1743', '1735', '1686', '1956']"
57,FACE_OUTER_BOUND,'NONE',1763,0001,,,,,,['1763']
58,EDGE_LOOP,'NONE',1927,1924,1925,1923,,,,"['1927', '1924', '1925', '1923']"
59,CIRCLE,'NONE',1409,18.50000000000004300,,,,,,['1409']
60,LINE,'NONE',1251,71,,,,,,"['1251', '71']"
61,VECTOR,'NONE',1175,1000.000000000000100,,,,,,['1175']
62,LINE,'NONE',1194,181,,,,,,"['1194', '181']"
63,LINE,'NONE',1208,815,,,,,,"['1208', '815']"
64,VECTOR,'NONE',1190,1000.000000000000000,,,,,,['1190']
65,VECTOR,'NONE',1237,1000.000000000000000,,,,,,['1237']
66,VECTOR,'NONE',1181,1000.000000000000000,,,,,,['1181']
67,LINE,'NONE',1238,65,,,,,,"['1238', '65']"
68,CIRCLE,'NONE',1428,2.099999999999997900,,,,,,['1428']
69,VECTOR,'NONE',797,1000.000000000000000,,,,,,['797']
70,CIRCLE,'NONE',1407,2.749999999999995600,,,,,,['1407']
71,VECTOR,'NONE',1250,1000.000000000000000,,,,,,['1250']
72,CIRCLE,'NONE',1405,4.999999999999997300,,,,,,['1405']
73,VECTOR,'NONE',1228,1000.000000000000000,,,,,,['1228']
74,CIRCLE,'NONE',1431,2.749999999999995600,,,,,,['1431']
75,LINE,'NONE',805,12,,,,,,"['805', '12']"
76,LINE,'NONE',800,77,,,,,,"['800', '77']"
77,VECTOR,'NONE',1218,1000.000000000000000,,,,,,['1218']
78,VECTOR,'NONE',1226,1000.000000000000000,,,,,,['1226']
79,EDGE_LOOP,'NONE',1990,2012,,,,,,"['1990', '2012']"
80,FACE_OUTER_BOUND,'NONE',261,0001,,,,,,['261']
81,FACE_OUTER_BOUND,'NONE',189,0001,,,,,,['189']
82,CYLINDRICAL_SURFACE,'NONE',1419,5.499999999999998200,,,,,,['1419']
83,FACE_OUTER_BOUND,'NONE',199,0001,,,,,,['199']
84,FACE_OUTER_BOUND,'NONE',129,0001,,,,,,['129']
85,FACE_OUTER_BOUND,'NONE',5,0001,,,,,,['5']
86,FACE_BOUND,'NONE',218,0001,,,,,,['218']
87,FACE_OUTER_BOUND,'NONE',201,0001,,,,,,['201']
88,FACE_OUTER_BOUND,'NONE',130,0001,,,,,,['130']
89,FACE_OUTER_BOUND,'NONE',228,0001,,,,,,['228']
90,CIRCLE,'NONE',1585,4.999999999999993800,,,,,,['1585']
91,VECTOR,'NONE',1279,1000.000000000000000,,,,,,['1279']
92,VECTOR,'NONE',1269,1000.000000000000000,,,,,,['1269']
93,FACE_OUTER_BOUND,'NONE',234,0001,,,,,,['234']
